variant	LocationID_coronA	LocationName_coronA	sample_id	sample_date	value
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_5590_S80686	2021-03-10	0.98501
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-10	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-10	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-10	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-10	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-10	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_6449_S81941	2021-03-23	0.99625
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-23	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-23	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-23	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-23	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-23	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_6968_S82316	2021-03-31	0.889186384776446
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-31	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-31	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-31	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_6968_S82316	2021-03-31	0.110804350645741
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-03-31	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_7311_S83107	2021-04-06	0.98566
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-06	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-06	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-06	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-06	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-06	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_7761_S83537	2021-04-13	0.997
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-13	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-13	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-13	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-13	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-13	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_8194_S84175	2021-04-20	0.99772
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-20	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-20	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-20	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-20	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-20	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_8334_S84854	2021-04-27	0.99869
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-27	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-27	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-27	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-27	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-04-27	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_8856_S85944	2021-05-04	0.99746
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-04	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-04	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-04	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-04	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-04	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_8849_S85968	2021-05-05	0.99748
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-05	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-05	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-05	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-05	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-05	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_8954_S86503	2021-05-12	0.99745
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-12	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-12	0
B.1.258.17	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-12	0
B.1.351	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-12	0
B.1.617.2	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-12	0
B.1.1.7	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau	CoV_9241_S87101	2021-05-17	0.99828
B.1.160	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-17	0
B.1.177.86	ATTP_3-34	ARA GV Abwasserbeseitigung Raum Bad Vöslau		2021-05-17	0
