BSF_run	BSF_sample_name	BSF_start_date	LocationID	LocationName	N_in_Consensus	RNA_ID_int	additional_information	adress_town	state	connected_people	dcpLatitude	dcpLongitude	include_in_report	report_category	sample_date	status
BSF_1298	CoV_34021_S127821	2022-11-21	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	519	CoV_34021		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-11-08	pass
BSF_1298	CoV_34024_S127756	2022-11-21	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	520	CoV_34024		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-11-08	pass
BSF_1298	CoV_34050_S127785	2022-11-21	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	520	CoV_34050		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-11-13	pass
BSF_1298	CoV_34054_S127789	2022-11-21	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	519	CoV_34054		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-11-13	pass
BSF_1298	CoV_34059_S127792	2022-11-21	ATTP_8-Bregenz	Bregenz	520	CoV_34059		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-11-13	pass
BSF_1300	CoV_34091_S127836	2022-11-28	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	520	CoV_34091		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-11-15	pass
BSF_1300	CoV_34094_S127841	2022-11-28	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	519	CoV_34094		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-11-15	pass
BSF_1300	CoV_34119_S127864	2022-11-28	ATTP_9-HKA-Simmering	EMREG_BE_ebswien hauptkläranlage	498	CoV_34119		Wien	Vienna	1900000	48.172266623	16.465265077	TRUE	general; alps; targeted	2022-11-20	pass
BSF_1300	CoV_34123_S127868	2022-11-28	ATTP_5-A1699622R154	EMREG_BE_Siggerwiesen_2	519	CoV_34123		Bergheim	Salzburg	321000	47.859744236	13.0025239710001	TRUE	general; alps; targeted	2022-11-20	pass
BSF_1300	CoV_34135_S127880	2022-11-28	ATTP_8-Bregenz	Bregenz	519	CoV_34135		Bregenz	Vorarlberg	33189	47.5045260470001	9.70669547200004	TRUE	general; alps	2022-11-20	pass
